 5.61 3.06 14.32 6.61 11.00 10.02 20.64 4.11 18.37 20.96 11.91 10.72 2.25 18.07 14.47 7.01 8.53 14.62 18.03 18.04 15.43 21.52 14.30 9.42 17.37 7.99 22.46 13.40 22.81 13.76
 6.29 3.95 14.99 6.94 11.59 10.43 21.83 4.58 19.62 21.97 12.61 11.88 2.91 19.09 15.82 7.66 9.72 15.44 19.97 19.35 16.27 22.60 15.21 10.76 19.19 9.37 23.58 14.79 24.44 15.34
 7.87 5.71 16.92 8.13 13.33 11.85 24.57 5.97 22.17 24.33 14.71 14.21 4.42 21.59 18.54 9.22 12.03 17.36 23.42 22.02 18.36 25.23 17.55 13.14 22.13 11.88 25.97 17.39 27.95 18.18
 9.06 7.33 18.23 9.20 14.66 12.90 26.53 7.18 24.05 26.00 16.24 16.06 5.72 23.57 20.55 10.48 13.88 18.87 26.13 24.10 19.96 27.21 19.28 15.12 24.43 13.86 27.60 19.52 30.50 20.41
 10.84 9.48 20.35 10.75 16.57 14.50 29.17 8.82 26.50 28.34 18.43 18.52 7.50 26.28 23.23 12.45 16.53 21.02 29.36 26.74 22.22 29.79 21.49 17.84 27.34 16.55 29.85 22.11 33.77 23.28
 12.59 11.72 22.85 12.40 18.73 16.35 32.56 10.62 29.62 31.26 21.17 21.32 9.44 29.70 26.39 14.53 19.18 23.56 33.34 29.95 25.08 33.24 24.49 20.71 30.48 19.33 32.37 25.17 37.79 26.74
 14.54 14.27 25.16 14.19 20.86 18.25 35.32 12.54 32.41 33.85 23.61 24.11 11.34 32.80 29.32 16.76 22.00 26.26 36.88 32.95 27.78 36.11 27.14 23.72 33.38 22.23 34.70 28.01 41.25 29.87
 17.61 17.84 28.45 17.25 24.22 21.29 39.28 15.72 36.01 37.39 27.55 27.84 14.69 36.95 33.27 20.09 25.86 29.75 41.37 36.85 31.66 40.16 31.12 27.76 37.12 26.15 37.88 31.93 45.78 34.06
 19.01 19.90 30.37 18.82 26.01 22.70 41.77 17.29 38.31 39.44 29.89 30.18 16.38 39.84 35.64 22.20 28.41 31.98 44.35 39.33 33.96 42.74 33.45 30.08 39.29 28.52 39.39 34.29 48.67 36.70
 21.66 23.32 33.19 21.48 28.78 25.38 44.94 20.21 41.47 42.35 33.02 33.62 19.29 43.32 38.77 25.23 31.67 35.18 47.82 42.52 37.36 46.08 36.77 33.31 42.09 31.73 41.58 37.36 51.95 40.17
 24.25 26.59 36.34 24.36 31.65 28.07 48.53 23.13 44.99 45.61 36.41 37.17 22.13 47.44 42.11 28.55 35.26 38.77 51.52 46.09 40.93 49.85 40.33 36.77 45.25 35.08 44.13 40.63 55.75 43.88
